"intersection_id","tollgate_id","vehicle_id","starting_time","travel_seq","travel_time"
"A","3","1032737","2016-10-18 00:32:07","110#2016-10-18 00:32:07#8.46;123#2016-10-18 00:32:16#3.43;107#2016-10-18 00:32:19#2.29;108#2016-10-18 00:32:22#2.74;119#2016-10-18 00:32:24#0.64;114#2016-10-18 00:32:25#14.70;118#2016-10-18 00:32:40#18.36;122#2016-10-18 00:32:58#24.22","75.22"
"A","3","1016492","2016-10-18 00:32:15","110#2016-10-18 00:32:15#10.48;123#2016-10-18 00:32:26#4.25;107#2016-10-18 00:32:30#2.27;108#2016-10-18 00:32:32#2.81;119#2016-10-18 00:32:35#0.67;114#2016-10-18 00:32:36#14.29;118#2016-10-18 00:32:50#15.83;122#2016-10-18 00:33:06#19.58","70.58"
"A","3","1000557","2016-10-18 00:42:37","110#2016-10-18 00:42:37#8.11;123#2016-10-18 00:42:46#4.39;107#2016-10-18 00:42:50#2.53;108#2016-10-18 00:42:53#3.09;119#2016-10-18 00:42:56#0.70;114#2016-10-18 00:42:56#15.31;118#2016-10-18 00:43:12#20.01;122#2016-10-18 00:43:32#37.26","92.25999999999999"
"A","3","1009005","2016-10-18 00:52:14","110#2016-10-18 00:52:14#8.51;123#2016-10-18 00:52:23#4.47;107#2016-10-18 00:52:27#2.68;108#2016-10-18 00:52:30#3.23;119#2016-10-18 00:52:33#0.71;114#2016-10-18 00:52:34#15.18;118#2016-10-18 00:52:49#17.88;122#2016-10-18 00:53:07#28.63","81.63"
"B","3","1003766","2016-10-18 00:57:20","105#2016-10-18 00:57:20#6.93;100#2016-10-18 00:57:27#5.12;111#2016-10-18 00:57:32#42.74;103#2016-10-18 00:58:15#2.32;122#2016-10-18 00:58:19#20.26","79.26"
"B","3","1001544","2016-10-18 00:57:22","105#2016-10-18 00:57:22#11.28;100#2016-10-18 00:57:34#8.39;111#2016-10-18 00:57:42#17.49;103#2016-10-18 00:57:59#3.33;122#2016-10-18 00:58:05#28.48","71.48"
"A","2","1030099","2016-10-18 01:04:24","110#2016-10-18 01:04:24#36.30;123#2016-10-18 01:05:00#4.30;107#2016-10-18 01:05:05#2.48;108#2016-10-18 01:05:07#2.91;120#2016-10-18 01:05:10#0.44;117#2016-10-18 01:05:11#9.91","56.91"
"A","2","1004286","2016-10-18 01:12:18","110#2016-10-18 01:12:18#13.75;123#2016-10-18 01:12:31#6.19;107#2016-10-18 01:12:37#3.56;108#2016-10-18 01:12:41#6.11;120#2016-10-18 01:12:47#0.61;117#2016-10-18 01:12:48#22.36","52.36"
"A","2","1041328","2016-10-18 01:23:40","110#2016-10-18 01:23:40#9.39;123#2016-10-18 01:23:49#4.15;107#2016-10-18 01:23:53#2.39;108#2016-10-18 01:23:56#3.03;120#2016-10-18 01:23:59#0.45;117#2016-10-18 01:23:59#12.20","31.2"
"A","2","1009360","2016-10-18 01:25:52","110#2016-10-18 01:25:52#24.03;123#2016-10-18 01:26:16#20.06;107#2016-10-18 01:26:36#3.47;108#2016-10-18 01:26:39#4.08;120#2016-10-18 01:26:43#0.61;117#2016-10-18 01:26:44#40.71","92.71000000000001"
"A","2","1017391","2016-10-18 01:26:23","110#2016-10-18 01:26:23#16.22;123#2016-10-18 01:26:39#8.78;107#2016-10-18 01:26:48#5.06;108#2016-10-18 01:26:53#5.95;120#2016-10-18 01:26:59#0.89;117#2016-10-18 01:27:00#25.23","62.230000000000004"
"A","2","1003822","2016-10-18 01:31:50","110#2016-10-18 01:31:50#4.86;123#2016-10-18 01:31:55#18.28;107#2016-10-18 01:32:13#0.95;108#2016-10-18 01:32:14#1.12;120#2016-10-18 01:32:15#0.17;117#2016-10-18 01:32:15#17.32","42.32"
"A","2","1002179","2016-10-18 01:44:21","110#2016-10-18 01:44:21#14.60;123#2016-10-18 01:44:36#7.90;107#2016-10-18 01:44:44#4.20;108#2016-10-18 01:44:48#4.17;120#2016-10-18 01:44:52#0.63;117#2016-10-18 01:44:53#46.38","78.38"
"A","2","1005949","2016-10-18 01:44:33","110#2016-10-18 01:44:33#11.38;123#2016-10-18 01:44:44#6.16;107#2016-10-18 01:44:50#3.55;108#2016-10-18 01:44:54#4.17;120#2016-10-18 01:44:58#0.63;117#2016-10-18 01:44:58#43.06","68.06"
"B","3","1019798","2016-10-18 01:46:19","105#2016-10-18 01:46:19#6.63;100#2016-10-18 01:46:26#4.93;111#2016-10-18 01:46:31#10.28;103#2016-10-18 01:46:41#1.95;122#2016-10-18 01:46:44#20.85","45.85"
"B","3","1001143","2016-10-18 01:48:00","105#2016-10-18 01:48:00#12.53;100#2016-10-18 01:48:13#9.78;111#2016-10-18 01:48:23#24.02;103#2016-10-18 01:48:47#4.61;122#2016-10-18 01:48:54#40.44","94.44"
"A","3","1016999","2016-10-18 02:00:07","110#2016-10-18 02:00:07#9.98;123#2016-10-18 02:00:17#5.40;107#2016-10-18 02:00:23#3.11;108#2016-10-18 02:00:26#3.66;119#2016-10-18 02:00:29#0.82;114#2016-10-18 02:00:30#18.13;118#2016-10-18 02:00:48#18.86;122#2016-10-18 02:01:07#18.04","78.03999999999999"
"A","3","1001378","2016-10-18 02:08:26","110#2016-10-18 02:08:26#7.58;123#2016-10-18 02:08:33#4.10;107#2016-10-18 02:08:37#3.37;108#2016-10-18 02:08:41#2.83;119#2016-10-18 02:08:44#0.64;114#2016-10-18 02:08:44#14.00;118#2016-10-18 02:08:58#41.50;122#2016-10-18 02:09:40#12.94","86.94"
"A","2","1010012","2016-10-18 02:10:27","110#2016-10-18 02:10:27#8.82;123#2016-10-18 02:10:36#4.93;107#2016-10-18 02:10:41#3.78;108#2016-10-18 02:10:45#4.14;120#2016-10-18 02:10:49#0.61;117#2016-10-18 02:10:50#27.29","50.29"
"B","3","1011116","2016-10-18 02:15:41","105#2016-10-18 02:15:41#9.77;100#2016-10-18 02:15:50#7.10;111#2016-10-18 02:15:58#14.67;103#2016-10-18 02:16:12#42.18;122#2016-10-18 02:16:56#21.03","96.03"
"A","2","1004088","2016-10-18 02:30:06","110#2016-10-18 02:30:06#15.22;123#2016-10-18 02:30:22#4.32;107#2016-10-18 02:30:26#2.49;108#2016-10-18 02:30:28#2.93;120#2016-10-18 02:30:31#0.44;117#2016-10-18 02:30:32#43.75","69.75"
"A","2","1035022","2016-10-18 02:34:12","110#2016-10-18 02:34:12#10.22;123#2016-10-18 02:34:22#5.53;107#2016-10-18 02:34:27#3.19;108#2016-10-18 02:34:31#4.54;120#2016-10-18 02:34:35#0.72;117#2016-10-18 02:34:36#16.23","40.230000000000004"
"A","2","1002441","2016-10-18 03:00:50","110#2016-10-18 03:00:50#12.12;123#2016-10-18 03:01:02#6.70;107#2016-10-18 03:01:09#3.86;108#2016-10-18 03:01:13#4.55;120#2016-10-18 03:01:17#0.68;117#2016-10-18 03:01:18#32.63","60.63"
"A","3","1024232","2016-10-18 03:10:03","110#2016-10-18 03:10:03#21.79;123#2016-10-18 03:10:25#4.94;107#2016-10-18 03:10:30#2.85;108#2016-10-18 03:10:33#3.35;119#2016-10-18 03:10:36#0.75;114#2016-10-18 03:10:37#16.66;118#2016-10-18 03:10:54#17.51;122#2016-10-18 03:11:11#25.10","93.1"
"A","3","1006102","2016-10-18 03:12:10","110#2016-10-18 03:12:10#9.51;123#2016-10-18 03:12:20#4.33;107#2016-10-18 03:12:24#2.30;108#2016-10-18 03:12:26#2.77;119#2016-10-18 03:12:29#0.67;114#2016-10-18 03:12:30#13.76;118#2016-10-18 03:12:44#13.94;122#2016-10-18 03:12:58#24.96","72.96000000000001"
"A","3","1011385","2016-10-18 03:12:11","110#2016-10-18 03:12:11#8.75;123#2016-10-18 03:12:20#4.01;107#2016-10-18 03:12:24#2.31;108#2016-10-18 03:12:26#2.72;119#2016-10-18 03:12:29#0.61;114#2016-10-18 03:12:29#13.47;118#2016-10-18 03:12:43#18.03;122#2016-10-18 03:13:01#19.66","69.66"
"A","3","1003290","2016-10-18 03:14:34","110#2016-10-18 03:14:34#7.28;123#2016-10-18 03:14:42#3.94;107#2016-10-18 03:14:45#2.27;108#2016-10-18 03:14:48#2.67;119#2016-10-18 03:14:50#0.60;114#2016-10-18 03:14:51#14.83;118#2016-10-18 03:15:06#18.39;122#2016-10-18 03:15:24#24.33","74.33"
"A","2","1003206","2016-10-18 03:16:03","110#2016-10-18 03:16:03#12.48;123#2016-10-18 03:16:16#4.79;107#2016-10-18 03:16:20#4.72;108#2016-10-18 03:16:25#16.18;120#2016-10-18 03:16:41#1.30;117#2016-10-18 03:16:43#45.40","85.4"
"A","3","1018885","2016-10-18 03:24:36","110#2016-10-18 03:24:36#9.48;123#2016-10-18 03:24:45#4.85;107#2016-10-18 03:24:50#2.83;108#2016-10-18 03:24:53#4.44;119#2016-10-18 03:24:58#1.18;114#2016-10-18 03:24:59#23.06;118#2016-10-18 03:25:22#24.81;122#2016-10-18 03:25:47#27.53","98.53"
"A","2","1000048","2016-10-18 03:24:37","110#2016-10-18 03:24:37#8.82;123#2016-10-18 03:24:46#4.77;107#2016-10-18 03:24:51#2.75;108#2016-10-18 03:24:54#3.23;120#2016-10-18 03:24:57#0.49;117#2016-10-18 03:24:57#28.40","48.4"
"A","2","1005992","2016-10-18 03:24:53","110#2016-10-18 03:24:53#8.58;123#2016-10-18 03:25:01#5.63;107#2016-10-18 03:25:07#4.43;108#2016-10-18 03:25:11#5.22;120#2016-10-18 03:25:17#0.78;117#2016-10-18 03:25:17#19.86","43.86"
"C","1","1000908","2016-10-18 03:45:26","115#2016-10-18 03:45:26#8.19;102#2016-10-18 03:45:34#6.76;109#2016-10-18 03:45:41#5.51;104#2016-10-18 03:45:46#11.41;112#2016-10-18 03:45:58#10.98;111#2016-10-18 03:46:08#7.23;103#2016-10-18 03:46:16#1.18;116#2016-10-18 03:46:17#9.14;101#2016-10-18 03:46:26#4.53;121#2016-10-18 03:46:31#23.96;106#2016-10-18 03:46:55#1.87;113#2016-10-18 03:46:57#17.96","108.96000000000001"
"A","2","1049511","2016-10-18 03:46:45","110#2016-10-18 03:46:45#10.69;123#2016-10-18 03:46:55#6.03;107#2016-10-18 03:47:01#4.21;108#2016-10-18 03:47:06#4.95;120#2016-10-18 03:47:11#0.74;117#2016-10-18 03:47:11#25.87","51.870000000000005"
"B","3","1003886","2016-10-18 03:47:56","105#2016-10-18 03:47:56#7.12;100#2016-10-18 03:48:03#5.29;111#2016-10-18 03:48:08#11.05;103#2016-10-18 03:48:19#3.54;122#2016-10-18 03:48:27#48.32","79.32"
"B","3","1003711","2016-10-18 03:47:59","105#2016-10-18 03:47:59#6.80;100#2016-10-18 03:48:06#3.59;111#2016-10-18 03:48:10#38.58;103#2016-10-18 03:48:48#2.80;122#2016-10-18 03:48:53#20.45","74.45"
"A","2","1045216","2016-10-18 03:51:18","110#2016-10-18 03:51:18#6.06;123#2016-10-18 03:51:24#3.28;107#2016-10-18 03:51:27#1.89;108#2016-10-18 03:51:29#2.22;120#2016-10-18 03:51:31#0.33;117#2016-10-18 03:51:31#7.56","20.56"
"A","2","1000804","2016-10-18 04:02:43","110#2016-10-18 04:02:43#15.53;123#2016-10-18 04:02:59#9.78;107#2016-10-18 04:03:09#5.63;108#2016-10-18 04:03:14#6.63;120#2016-10-18 04:03:21#0.99;117#2016-10-18 04:03:22#22.54","61.54"
"A","2","1008182","2016-10-18 04:18:33","110#2016-10-18 04:18:33#8.27;123#2016-10-18 04:18:41#7.01;107#2016-10-18 04:18:48#4.04;108#2016-10-18 04:18:52#4.75;120#2016-10-18 04:18:57#0.71;117#2016-10-18 04:18:57#28.15","52.15"
"A","2","1005958","2016-10-18 04:28:18","110#2016-10-18 04:28:18#7.93;123#2016-10-18 04:28:26#4.29;107#2016-10-18 04:28:30#2.48;108#2016-10-18 04:28:33#5.74;120#2016-10-18 04:28:39#1.00;117#2016-10-18 04:28:40#22.73","44.730000000000004"
"A","2","1018655","2016-10-18 04:29:55","110#2016-10-18 04:29:55#9.12;123#2016-10-18 04:30:04#5.29;107#2016-10-18 04:30:09#2.91;108#2016-10-18 04:30:12#3.70;120#2016-10-18 04:30:16#0.56;117#2016-10-18 04:30:16#26.80","47.8"
"A","3","1002932","2016-10-18 04:32:33","110#2016-10-18 04:32:33#7.22;123#2016-10-18 04:32:40#3.91;107#2016-10-18 04:32:44#2.25;108#2016-10-18 04:32:46#31.85;119#2016-10-18 04:33:18#0.41;114#2016-10-18 04:33:19#9.05;118#2016-10-18 04:33:28#9.42;122#2016-10-18 04:33:37#9.01","73.01"
"A","2","1048017","2016-10-18 04:32:34","110#2016-10-18 04:32:34#9.32;123#2016-10-18 04:32:43#5.04;107#2016-10-18 04:32:48#2.91;108#2016-10-18 04:32:51#3.42;120#2016-10-18 04:32:55#0.51;117#2016-10-18 04:32:55#34.11","55.11"
"A","2","1005734","2016-10-18 04:32:41","110#2016-10-18 04:32:41#7.59;123#2016-10-18 04:32:49#6.48;107#2016-10-18 04:32:55#4.74;108#2016-10-18 04:33:00#5.58;120#2016-10-18 04:33:06#0.84;117#2016-10-18 04:33:06#49.93","74.93"
"A","2","1017643","2016-10-18 04:42:53","110#2016-10-18 04:42:53#11.09;123#2016-10-18 04:43:04#6.19;107#2016-10-18 04:43:10#3.57;108#2016-10-18 04:43:14#4.20;120#2016-10-18 04:43:18#0.63;117#2016-10-18 04:43:18#27.55","52.55"
"C","3","1004211","2016-10-18 04:51:05","115#2016-10-18 04:51:05#7.70;102#2016-10-18 04:51:13#8.62;109#2016-10-18 04:51:21#6.70;104#2016-10-18 04:51:28#16.03;112#2016-10-18 04:51:44#14.74;111#2016-10-18 04:51:59#40.36;103#2016-10-18 04:52:39#5.90;122#2016-10-18 04:52:49#30.04","134.04"
"A","2","1016868","2016-10-18 04:53:25","110#2016-10-18 04:53:25#142.44;123#2016-10-18 04:55:47#19.73;107#2016-10-18 04:56:07#3.86;108#2016-10-18 04:56:11#4.55;120#2016-10-18 04:56:15#0.68;117#2016-10-18 04:56:16#28.07","199.07"
"A","2","1013827","2016-10-18 04:56:34","110#2016-10-18 04:56:34#7.43;123#2016-10-18 04:56:41#4.02;107#2016-10-18 04:56:45#4.45;108#2016-10-18 04:56:50#5.46;120#2016-10-18 04:56:55#0.82;117#2016-10-18 04:56:56#18.58","40.58"
"A","2","1002666","2016-10-18 05:01:50","110#2016-10-18 05:01:50#28.65;123#2016-10-18 05:02:19#6.06;107#2016-10-18 05:02:25#3.49;108#2016-10-18 05:02:28#4.11;120#2016-10-18 05:02:32#0.62;117#2016-10-18 05:02:33#13.97","56.97"
"A","3","1003746","2016-10-18 05:02:31","110#2016-10-18 05:02:31#6.99;123#2016-10-18 05:02:38#3.79;107#2016-10-18 05:02:42#2.18;108#2016-10-18 05:02:44#2.57;119#2016-10-18 05:02:46#0.58;114#2016-10-18 05:02:47#12.56;118#2016-10-18 05:02:59#29.12;122#2016-10-18 05:03:29#17.69","75.69"
"A","2","1014239","2016-10-18 05:06:34","110#2016-10-18 05:06:34#8.29;123#2016-10-18 05:06:42#4.94;107#2016-10-18 05:06:47#2.85;108#2016-10-18 05:06:50#3.85;120#2016-10-18 05:06:54#0.75;117#2016-10-18 05:06:55#24.34","45.34"
"A","3","1011384","2016-10-18 05:08:50","110#2016-10-18 05:08:50#7.43;123#2016-10-18 05:08:58#3.86;107#2016-10-18 05:09:01#2.71;108#2016-10-18 05:09:04#3.20;119#2016-10-18 05:09:07#0.72;114#2016-10-18 05:09:08#15.74;118#2016-10-18 05:09:24#16.46;122#2016-10-18 05:09:40#37.42","87.42"
"A","2","1003665","2016-10-18 05:12:36","110#2016-10-18 05:12:36#8.45;123#2016-10-18 05:12:44#7.37;107#2016-10-18 05:12:51#6.04;108#2016-10-18 05:12:58#7.10;120#2016-10-18 05:13:05#1.07;117#2016-10-18 05:13:06#37.94","67.94"
"A","2","1009467","2016-10-18 05:12:39","110#2016-10-18 05:12:39#8.96;123#2016-10-18 05:12:48#4.85;107#2016-10-18 05:12:53#2.79;108#2016-10-18 05:12:56#3.29;120#2016-10-18 05:12:59#0.49;117#2016-10-18 05:13:00#27.09","48.09"
"A","2","1005804","2016-10-18 05:12:39","110#2016-10-18 05:12:39#9.16;123#2016-10-18 05:12:49#5.46;107#2016-10-18 05:12:54#3.21;108#2016-10-18 05:12:57#6.32;120#2016-10-18 05:13:04#1.46;117#2016-10-18 05:13:05#74.62","100.62"
"A","2","1011323","2016-10-18 05:15:50","110#2016-10-18 05:15:50#46.10;123#2016-10-18 05:16:36#11.31;107#2016-10-18 05:16:48#6.52;108#2016-10-18 05:16:54#7.67;120#2016-10-18 05:17:02#1.15;117#2016-10-18 05:17:03#33.21","106.21000000000001"
"C","1","1019028","2016-10-18 05:16:51","115#2016-10-18 05:16:51#9.17;102#2016-10-18 05:17:00#7.87;109#2016-10-18 05:17:08#6.88;104#2016-10-18 05:17:15#15.38;112#2016-10-18 05:17:30#14.19;111#2016-10-18 05:17:44#7.86;103#2016-10-18 05:17:52#1.35;116#2016-10-18 05:17:54#10.05;101#2016-10-18 05:18:04#4.87;121#2016-10-18 05:18:09#8.23;106#2016-10-18 05:18:17#1.74;113#2016-10-18 05:18:18#30.70","117.7"
"A","2","1012787","2016-10-18 05:18:11","110#2016-10-18 05:18:11#8.59;123#2016-10-18 05:18:20#9.21;107#2016-10-18 05:18:29#1.68;108#2016-10-18 05:18:31#1.98;120#2016-10-18 05:18:33#0.30;117#2016-10-18 05:18:33#13.96","35.96"
"A","2","1017438","2016-10-18 05:24:04","110#2016-10-18 05:24:04#11.20;123#2016-10-18 05:24:15#6.06;107#2016-10-18 05:24:21#3.49;108#2016-10-18 05:24:25#4.11;120#2016-10-18 05:24:29#0.62;117#2016-10-18 05:24:29#19.47","44.47"
"A","2","1029245","2016-10-18 05:28:21","110#2016-10-18 05:28:21#8.31;123#2016-10-18 05:28:29#4.50;107#2016-10-18 05:28:34#2.59;108#2016-10-18 05:28:36#3.05;120#2016-10-18 05:28:39#0.46;117#2016-10-18 05:28:40#25.94","44.94"
"A","2","1008843","2016-10-18 05:30:12","110#2016-10-18 05:30:12#12.53;123#2016-10-18 05:30:24#4.78;107#2016-10-18 05:30:29#2.75;108#2016-10-18 05:30:32#3.24;120#2016-10-18 05:30:35#0.49;117#2016-10-18 05:30:36#42.09","66.09"
"A","2","1024096","2016-10-18 05:30:16","110#2016-10-18 05:30:16#9.44;123#2016-10-18 05:30:26#4.90;107#2016-10-18 05:30:31#2.86;108#2016-10-18 05:30:34#3.33;120#2016-10-18 05:30:37#0.50;117#2016-10-18 05:30:37#34.71","55.71"
"A","2","1004861","2016-10-18 05:31:01","110#2016-10-18 05:31:01#12.53;123#2016-10-18 05:31:13#5.88;107#2016-10-18 05:31:19#3.39;108#2016-10-18 05:31:22#3.99;120#2016-10-18 05:31:26#0.60;117#2016-10-18 05:31:27#29.29","55.29"
"A","2","1024231","2016-10-18 05:34:10","110#2016-10-18 05:34:10#10.09;123#2016-10-18 05:34:20#6.27;107#2016-10-18 05:34:26#4.47;108#2016-10-18 05:34:31#5.22;120#2016-10-18 05:34:36#0.64;117#2016-10-18 05:34:37#22.02","49.019999999999996"
"A","3","1000488","2016-10-18 05:34:31","110#2016-10-18 05:34:31#9.22;123#2016-10-18 05:34:40#5.09;107#2016-10-18 05:34:45#2.93;108#2016-10-18 05:34:48#3.45;119#2016-10-18 05:34:52#0.78;114#2016-10-18 05:34:52#17.61;118#2016-10-18 05:35:10#20.13;122#2016-10-18 05:35:30#24.40","83.4"
"C","1","1014172","2016-10-18 05:43:27","115#2016-10-18 05:43:27#8.96;102#2016-10-18 05:43:36#7.79;109#2016-10-18 05:43:44#7.12;104#2016-10-18 05:43:51#16.05;112#2016-10-18 05:44:07#16.01;111#2016-10-18 05:44:23#7.28;103#2016-10-18 05:44:30#1.46;116#2016-10-18 05:44:32#10.74;101#2016-10-18 05:44:42#4.54;121#2016-10-18 05:44:47#6.79;106#2016-10-18 05:44:54#1.20;113#2016-10-18 05:44:55#17.27","105.27"
"A","2","1006700","2016-10-18 05:44:11","110#2016-10-18 05:44:11#10.96;123#2016-10-18 05:44:22#5.78;107#2016-10-18 05:44:27#2.94;108#2016-10-18 05:44:30#3.46;120#2016-10-18 05:44:34#0.52;117#2016-10-18 05:44:34#11.77","34.769999999999996"
"A","3","1006988","2016-10-18 05:48:00","110#2016-10-18 05:48:00#3.01;123#2016-10-18 05:48:03#1.63;107#2016-10-18 05:48:04#0.94;108#2016-10-18 05:48:05#1.10;119#2016-10-18 05:48:06#0.25;114#2016-10-18 05:48:07#5.47;118#2016-10-18 05:48:12#5.69;122#2016-10-18 05:48:18#5.44","23.44"
"A","2","1010051","2016-10-18 05:49:52","110#2016-10-18 05:49:52#20.86;107#2016-10-18 05:50:14#5.00;108#2016-10-18 05:50:19#5.88;120#2016-10-18 05:50:25#0.88;117#2016-10-18 05:50:25#25.51","58.510000000000005"
"A","3","1001263","2016-10-18 05:50:37","110#2016-10-18 05:50:37#9.40;123#2016-10-18 05:50:46#5.09;107#2016-10-18 05:50:52#2.93;108#2016-10-18 05:50:54#3.45;119#2016-10-18 05:50:58#0.78;114#2016-10-18 05:50:59#20.61;118#2016-10-18 05:51:19#58.19;122#2016-10-18 05:52:18#16.47","117.47"
"A","2","1016043","2016-10-18 05:51:46","110#2016-10-18 05:51:46#13.72;123#2016-10-18 05:52:00#7.43;107#2016-10-18 05:52:07#4.45;108#2016-10-18 05:52:11#6.15;120#2016-10-18 05:52:18#0.92;117#2016-10-18 05:52:19#20.92","53.92"
"A","2","1003844","2016-10-18 05:56:14","110#2016-10-18 05:56:14#9.64;123#2016-10-18 05:56:24#4.44;107#2016-10-18 05:56:28#3.04;108#2016-10-18 05:56:31#4.46;120#2016-10-18 05:56:36#0.65;117#2016-10-18 05:56:36#26.66","48.66"
"A","2","1000758","2016-10-18 05:58:09","110#2016-10-18 05:58:09#10.74;123#2016-10-18 05:58:19#5.55;107#2016-10-18 05:58:25#2.82;108#2016-10-18 05:58:28#3.32;120#2016-10-18 05:58:31#0.50;117#2016-10-18 05:58:32#11.29","34.29"
"A","2","1026631","2016-10-18 06:00:14","110#2016-10-18 06:00:14#7.65;123#2016-10-18 06:00:22#4.14;107#2016-10-18 06:00:26#2.39;108#2016-10-18 06:00:29#2.81;120#2016-10-18 06:00:31#0.42;117#2016-10-18 06:00:32#9.54","27.54"
"C","3","1017312","2016-10-18 06:00:28","115#2016-10-18 06:00:28#9.35;102#2016-10-18 06:00:38#13.54;109#2016-10-18 06:00:51#4.35;104#2016-10-18 06:00:55#24.96;112#2016-10-18 06:01:20#22.73;111#2016-10-18 06:01:43#16.16;103#2016-10-18 06:01:59#18.43;122#2016-10-18 06:02:20#27.53","139.53"
"A","2","1044671","2016-10-18 06:03:07","110#2016-10-18 06:03:07#7.22;123#2016-10-18 06:03:14#3.91;107#2016-10-18 06:03:18#2.25;108#2016-10-18 06:03:21#2.65;120#2016-10-18 06:03:23#0.40;117#2016-10-18 06:03:24#9.01","26.009999999999998"
"A","3","1000017","2016-10-18 06:04:37","110#2016-10-18 06:04:37#7.39;123#2016-10-18 06:04:44#4.00;107#2016-10-18 06:04:48#2.31;108#2016-10-18 06:04:51#2.71;119#2016-10-18 06:04:53#0.61;114#2016-10-18 06:04:54#14.31;118#2016-10-18 06:05:08#20.01;122#2016-10-18 06:05:28#27.40","78.4"
"A","2","1002850","2016-10-18 06:10:17","110#2016-10-18 06:10:17#14.33;123#2016-10-18 06:10:31#5.84;107#2016-10-18 06:10:37#3.37;108#2016-10-18 06:10:40#3.96;120#2016-10-18 06:10:44#0.59;117#2016-10-18 06:10:45#43.00","71"
"A","2","1019077","2016-10-18 06:14:19","110#2016-10-18 06:14:19#5.46;123#2016-10-18 06:14:24#3.16;107#2016-10-18 06:14:28#1.82;108#2016-10-18 06:14:29#2.14;120#2016-10-18 06:14:32#0.32;117#2016-10-18 06:14:32#7.27","20.27"
"A","3","1049060","2016-10-18 06:14:31","110#2016-10-18 06:14:31#8.05;123#2016-10-18 06:14:39#4.74;107#2016-10-18 06:14:43#2.95;108#2016-10-18 06:14:46#3.47;119#2016-10-18 06:14:50#0.78;114#2016-10-18 06:14:51#16.89;118#2016-10-18 06:15:07#21.62;122#2016-10-18 06:15:29#46.14","104.14"
